show_id,types,title,director,country,release_year,duration,listed_in,description
s1,Movie,딕 존슨이 죽었다,Kirsten Johnson,United States,2020,90,Documentaries,"그녀의 아버지가 임종을 앞두고 있는 가운데, 영화감독 커스틴 존슨은 두 사람 모두 피할 수 없는 상황에 직면하도록 돕기 위해 창의적이고 코믹한 방법으로 아버지의 죽음을 준비합니다."
s7,Movie,마이 리틀 포니: 새로운 세대,"Robert Cullen, Jos? Luis Ucha",,2021,91,Children & Family Movies,"이퀘스트리아는 분열되어 있습니다. 하지만 눈이 밝은 영웅은 어스 포니, 페가시, 유니콘이 친구가 되어야 한다고 믿습니다. 그리고 진심으로 그녀는 그것을 증명하기로 결심했습니다."
s8,Movie,산코파,Haile Gerima,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1993,125,"Dramas, Independent Movies, International Movies",가나의 사진 촬영에서 미국 모델은 시간을 거슬러 올라가 농장의 노예가 되어 조상의 과거의 고통을 목격합니다.
s10,Movie,스탈링,Theodore Melfi,United States,2021,104,"Comedies, Dramas",상실 이후 삶에 적응하는 한 여성이 자신의 정원을 점령한 거침없는 새와 사투를 벌인다. 그리고 앞으로 나아갈 길을 찾기 위해 애쓰는 남편.
s13,Movie,제 스위스 칼,Christian Schwochow,"Germany, Czech Republic",2021,127,"Dramas, International Movies","테러리스트의 폭탄 테러로 가족 대부분이 살해된 후, 한 젊은 여성이 자신도 모르게 그들을 죽인 바로 그 집단에 합류하도록 유혹됩니다."
s14,Movie,투명소녀의 고백,Bruno Garotti,,2021,91,"Children & Family Movies, Comedies",영리하지만 사회적으로 어색한 Tet은 언제? 새 학교에 입학하면 그녀는 적응하기 위해 무엇이든 할 것입니다. 그러나 그녀의 반 친구들 사이에 있는 여왕벌은 다른 생각을 가지고 있습니다.
s17,Movie,유럽에서 가장 위험한 남자: 스페인의 오토 슈코르체니,"Pedro de Echave Garc?a, Pablo Azor?n Williams",,2020,67,"Documentaries, International Movies",기밀 해제된 문서에는 히틀러의 가까운 동맹자이자 스페인으로 탈출하여 세계 대통령의 고문이 된 오토 슈코르체니(Otto Skorzeny)의 2차 세계대전 이후 생활이 나와 있습니다.
s19,Movie,강요,Adam Salky,,2021,94,Thrillers,부부의 새 꿈의 집에 치명적인 가정 침입이 발생한 후 트라우마에 빠진 아내는 답을 찾습니다. 진짜 위험이 이제 막 시작되었다는 것을 알게 됩니다.
s23,Movie,아바이 샨무기,K.S. Ravikumar,,1996,161,"Comedies, International Movies",새로 이혼하고 딸과의 면회권을 거부당한 아빠는 딸과 함께 시간을 보내기 위해 백발의 유모로 변장한다.
s24,Movie,가다! 가다! 코리 카슨: Chrissy가 운전대를 잡다,"Alex Woo, Stanley Moore",,2021,61,Children & Family Movies,"아케이드 게임부터 썰매와 딸꾹질 치료까지, 코리 카슨의 호기심 많은 여동생 Chrissy는 혼자서 재미와 모험을 즐기며 온 동네를 돌아다닙니다!"
